id,job_title,location,salary_currency,career_level,experience_level,education_level,employment_type,job_function,job_benefits,company_process_time,company_size,company_industry,job_description,salary,pengalamanKerja,rata2Gaji,mapped_region,UMR
10,Tax Supervisor,Banten,IDR,Supervisor/Koordinator,3 tahun,"Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)",Penuh Waktu,"Akuntansi / Keuangan,Audit & Pajak","Tip;Asuransi kesehatan;Waktu regular, Senin - Jumat;Bisnis (contoh: Kemeja);BPJS, Bonus, Annual Reward",22 days,51 - 200 pekerja,Konstruksi/Bangunan/Teknik,"ResponsibilitiesPrepare corporate income tax (CIT) or annual tax report calculationPreparing monthly tax compliance and returns (PPH 21, PPH 22, PPH 23, Final Tax article 4(2) and VAT), reporting, and ensure timely submission of tax filingResponsible for issuance of tax invoice, maintain e-nofa for tax invoice numbers and checking up on digital electronic certificate of e-faktur aoolication for VATCreate quarterly fiscal depreciationManage monthly reports for all taxesReviewing financial transaction to ensure the correctness of tax reporting and make performing reconciliation to general ledger entriesEnsuring the withholding tax slips from clients in accordance with the tax law and regulationsHandle all tax related issuesRequirementsCandidate must possess at least Diploma or Bachelor's Degree in Finance/Accounting/TaxAt least 3-5 years of working experience in a construction/engineering company is required for this positionUnderstand Tax Regulations and be able to operate Tax Application System, (E-Faktur, E-SPT, E-Bupot, etc.)Must have Brevet A & BCollaborate with external and internal parties in a professional mannerAble to operate Ms. OfficeGood interpersonal skills and communication skills at all levelsAble to manage time effectively and perform under pressureProblem-solving skills and hardworking behaviourPlacement in Tangerang Head OfficeMust speak English actively, passive is not acceptedCan join as soon as possible",8000000.0,3,5700000.0,Unknown,5396760.0
19,Accounting Staff,Jakarta Pusat,IDR,Pegawai (non-manajemen & non-supervisor),1 tahun,"SMA, SMU/SMK/STM, Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)",Penuh Waktu,"Akuntansi / Keuangan,Akuntansi Umum / Pembiayaan",Tip;Asuransi kesehatan;Bisnis (contoh: Kemeja);Mondays-Saturdays,,1- 50 pekerja,Manufaktur/Produksi,DESKRIPSI PEKERJAAN:Memeriksa dan/atau membuat dokumen transaksi.Input/catat/jurnal data-data transaksi keuangan.Membuat laporan atas data transaksi keuangan.Mengarsip (filing) dokumen yang telah dicatat. PERSYARATAN:Kandidat setidaknya lulusan SMA sederajat (jurusan akuntansi).Usia maksimal 25 tahun.Pengalaman kerja minimal 1 tahun (tidak mutlak).Mahir software Accurate.Bersedia bekerja penuh dari Senin sampai Sabtu.di Keuangan/Akuntansi/Perbankan atau setara.Lebih disukai yang berdomisili di Jakarta Pusat/Barat.,4750000.0,1,5700000.0,DKI JAKARTA,5396760.0
23,Senior Staff Purchasing,Surabaya,IDR,Pegawai (non-manajemen & non-supervisor),2 tahun,"Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)",Penuh Waktu,"Manufaktur,Pembelian/Manajemen Material",Asuransi kesehatan;Jam Bekerja yang Panjang;Bisnis (contoh: Kemeja),29 days,1- 50 pekerja,Elektrikal & Elektronik,"Deskripsi Pekerjaan:Mampu melakukan rencana pembelian berdasarkan kebutuhan dan target perusahaanMampu melakukan pemantauan persediaan barang, mendata barang-barang yang masuk dan keluar di gudang (stock opname barang secara berkala)Bertanggung jawab untuk melakukan pengiriman barang dan logisticMemahami mengenai distribusi, transportasi, dan ekspedisi barangMampu membuat laporan pembelian dan stock barangPenerimaan tagihan dari supplier untuk di proses bagian financeCakap dalam administrasi dan FileKualifikasi:Pendidikan S1/D3Domisili di SurabayaBerpengalaman sebagai staf pembelian minimal 2 tahun (di bidang ME & HVAC lebih disukai)Memiliki kemampuan komunikasi, negosiasi, dan menjalin hubungan baik dengan supplierMenguasai Microsoft Office (word, excel)Proaktif,efisien dan mampu bekerja secara mandiri maupun teamDetail, cekatan, bertanggungjawab, loyal, disiplin , pekerja keras dan JUJUR.",5250000.0,2,5700000.0,JAWA TIMUR,2305984.0
27,MARKETING COMMUNICATION & CHANNEL MANAGER,Jakarta Pusat,IDR,Manajer/Asisten Manajer,2 tahun,Tidak terspesifikasi,Penuh Waktu,"Penjualan / Pemasaran,Pemasaran/Pengembangan Bisnis","Asuransi Gigi;Asuransi kesehatan;Parkir;Waktu regular, Senin - Jumat;Bisnis (contoh: Kemeja)",29 days,51 - 200 pekerja,"Konsultasi (IT, Ilmu Pengetahuan, Teknis & Teknikal)","SCOPE OF ROLE :To plan, develop, implement and measure Infracom Technology brand of marketing, communications activities, both external and internal, delivering measurable projects and campaigns on time, within budget and to a consistently high quality. All activity to have a measured output that is reported on.MAIN DUTIES & RESPONSIBILITIES:Develop Strategic Communications planning for promotion & dissemination of Corporate & Marketing content Manage the Corporate Branding by leading the Web team to design, create & adapt, improve and optimize web communication to ensure consistent Corporate branding and messaging across all relation and channelsImplement strategic direction of all marketing activities and priorities for all property of Infracom TechnologyDevelop other, relevant social media outlets to support and expand our digital presenceManage the Marketing & Communications budget and ensure programme milestones related to marketing & communications are achieved on time and within budget.",15000000.0,2,5700000.0,DKI JAKARTA,5396760.0
29,Mechanic,Papua,IDR,Pegawai (non-manajemen & non-supervisor),1 tahun,Tidak terspesifikasi,Penuh Waktu,"Teknik,Mekanikal","Asuransi kesehatan;Waktu regular, Senin - Jumat;Formil (contoh: Kemeja + Dasi)",,51 - 200 pekerja,Automobil/Mesin Tambahan Automotif/Kendaraan,Kualifikasinya :Pendidikan Minimal SMK Jurusan Alat Berat atau Teknik Kendaraan RinganPengalaman minimal. 1 tahun maksimal. 3 tahun di truck / alat berat / Engine / Genset sebagai mekanikUsia maksimal 25 tahunBersedia melakukan perjalanan dinas dan juga mutasi bilamana dibutuhkan perusahaanBersedia ditempatkan di salah satu cabang perusahaan,5040000.0,1,5700000.0,Unknown,5396760.0
32,PPIC,Tangerang,IDR,Manajer/Asisten Manajer,5 tahun,Sarjana (S1),Penuh Waktu,"Manufaktur,Manufaktur","Asuransi kesehatan;Waktu regular, Senin - Jumat;Bisnis (contoh: Kemeja)",21 days,201 - 500 pekerja,Manufaktur/Produksi,"Tanggung Jawab:Membuat perencanaan produksi berdasarkan Marketing Plan (Forecast)Memantau dan mengevaluasi kesiapan Raw Material untuk produksi berdasarkan Production Plan yang telah dibuat sebelumnyaMemantau dan mengevaluasi tingkat persediaan Raw MaterialMengontrol persediaan/ Stock Raw Material dan Finish GoodMenganalisa hasil produksi dan pemakaian Raw Material serta menjaga kestabilan StockMelakukan analisa Plan VS Real dari produksi serta rencana pengirimannyaMembuat permintaan/ request order Raw Material berdasarkan Production PlanMengatur dan memantau proses penerima, penyimpanan dan pendistribusian inventory di GudangPersyaratan:Pendidikan minimal S1Memiliki pengetahuan yang baik mengenai Warehouse Management, Inventory Control, Production Planning, Distribution Principle, ISO 9001:2015, K3Mahir dalam pengoperasian MS Office terutama Excel & AccurateMemiliki pengalaman di bidang PPIC minimal 5 tahun",6600000.0,5,5700000.0,BANTEN,2905119.0
35,C# Advanced/Senior Developer,Jakarta Timur,IDR,Supervisor/Koordinator,2 tahun,"SMA, SMU/SMK/STM, Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)",Penuh Waktu,"Komputer/Teknologi Informasi,IT-Perangkat Lunak","Tip;Asuransi kesehatan;Waktu regular, Senin - Jumat;Kasual (contoh: Kaos)",5 days,1- 50 pekerja,Komputer/Teknik Informatika (Perangkat Lunak),"Kualifikasi:Kandidat harus memiliki setidaknya SMA/SMK, Diploma, Gelar Sarjana di Teknik (Elektro), Teknik (Komputer/Telekomunikasi), Matematika atau setara.Setidaknya memiliki 2 tahun pengalaman dalam bidang yang sesuai untuk posisi ini.Kemampuan yang harus dimiliki: C#, .NET, ASP.net, Microsoft ProjectLebih disukai Supervisor/Koordinator khusus dalam IT/Komputer - Perangkat Lunak atau setara.Menguasai konsep Object Oriented Programming.Love to Code.Militan Deskripsi Pekerjaan:Membuat/modifikasi aplikasi sesuai requirement.Menggali kebutuhan user.Mengintegrasikan, mengecek & testing berbagai page dari seluruh team member.Memastikan hasil dari team member sesuai dengan spesifikasi aplikasi.Mendokumentasikan project.",9500000.0,2,5700000.0,DKI JAKARTA,5396760.0
36,Manager Tiktok Shop And Tiktok Live,Banten,IDR,Manajer/Asisten Manajer,1 tahun,"Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)",Penuh Waktu,"Penjualan / Pemasaran,E-commerce",Kasual (contoh: Kaos);Potensi Perkembangan Karir yang Cepat,,1- 50 pekerja,Umum & Grosir,"Perusahaan yang bergerak di bidang online shop mencari kandidat yang berpengalaman di bidang tiktok shop dan tiktok live, bertanggung jawab bersama admin mengurus toko tiktok shop dalam penjualan dan melakukan tiktok live sesuai jadwal yang di tentukan, diutamakan yang bisa berbahasa mandarin",6500000.0,1,5700000.0,Unknown,5396760.0
38,IT Software Developer Staff,Jakarta Barat,IDR,Pegawai (non-manajemen & non-supervisor),1 tahun,"Sarjana (S1), Diploma Pascasarjana, Gelar Professional, Magister (S2)",Penuh Waktu,"Komputer/Teknologi Informasi,IT-Perangkat Lunak",Kasual (contoh: Kaos);Senin - Jum'at (HO) Senin - Sabtu (DSO),21 days,501 - 1000 pekerja,Industri Berat/Mesin/Peralatan,"Bachelor’s degree of Information Technology or relevant. Maximal age 30 years.At least 1 year(s) of working experience in the related field is required for this position or Fresh Graduate welcomeHaving Knowledge about Java, PHP, CSS, HTML, JavaScript.Having Knowledge about RESTful API and JSON/ XML.Having hands-on experience with one of CodeIgniter or Spring boot.Having knowledge with one (or more) of this databases: PostgreSQL, MySQL, MsSQL.Having Ability to develop new application and Implement IT system development projects.",6800000.0,1,5700000.0,DKI JAKARTA,5396760.0
39,Asisten Penerjemah,Maluku Utara,IDR,Pegawai (non-manajemen & non-supervisor),1 tahun,Tidak terspesifikasi,Penuh Waktu,"Seni/Media/Komunikasi,Hubungan Masyarakat",,,,Konstruksi/Bangunan/Teknik,"Job Responsibilities: 1. Membantu atasan dalam terjemahan harian di tempat dan pekerjaan manajemen di tempat2. Bertanggung jawab atas penerjemahan dan proofreading bahasa Indonesia dan Cina dari berbagai teks dan bahan departemen;3. Membantu dalam tindak lanjut pengembangan proyek, kontak dan hal-hal lain;6. Menyelesaikan pekerjaan terkait lainnya sesuai kebutuhan atasan departemenjob requirements: 1. Lulusan SMA penuh waktu atau lebih, dapat mendengarkan, berbicara, membaca dan menulis bahasa Mandarin, kefasihan lebih disukai;2. Memiliki kemampuan belajar mandiri yang kuat, kemampuan memahami dan kemampuan komunikasi, serta sikap kerja yang benar;3. Prinsip yang kuat, mampu menahan tekanan kerja tertentu, memiliki rasa tanggung jawab dan kesadaran tim yang kuat",9500000.0,1,5700000.0,Unknown,5396760.0
